title,genres_clean,main_cast,director,vote_average,popularity,overview,clean_title,clean_overview,clean_cast,clean_director
Paranormal Activity 3,Horror,Katie Featherston Sprague Grayden Lauren Bittner Christopher Nicholas Smith Chloe Csengery,Henry Joost Ariel Schulman,5.9,29.15813,"In 1988, evil begins to terrorize young sisters Katie and Kristi for the first time when an invisible entity resides in their home.",paranormal activity 3,1988 evil begin terrorize young sister katie kristi first time invisible entity resides home,katie featherston sprague grayden lauren bittner christopher nicholas smith chloe csengery,henry joost ariel schulman
Ouija,Horror,Olivia Cooke Ana Coto Daren Kagasoff Bianca A. Santos Douglas Smith,Stiles White,4.9,56.30466,A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.,ouija,group friend must confront terrifying fear awaken dark power ancient spirit board,olivia cooke ana coto daren kagasoff bianca a  santos douglas smith,stiles white
A Nightmare on Elm Street 3: Dream Warriors,Horror Thriller,Robert Englund Patricia Arquette Heather Langenkamp John Saxon Craig Wasson,Chuck Russell,6.5,17.304055,"It's been many years since Freddy Krueger's first victim, Nancy, came face-to-face with Freddy and his sadistic, evil ways. Now, Nancy's all grown up; she's put her frightening nightmares behind her and is helping teens cope with their dreams. Too bad Freddy's decided to herald his return by invading the kids' dreams and scaring them into committing suicide.",a nightmare on elm street 3  dream warriors,many year since freddy krueger first victim nancy came face face freddy sadistic evil way nancy grown put frightening nightmare behind helping teen cope dream bad freddy decided herald return invading kid dream scaring committing suicide,robert englund patricia arquette heather langenkamp john saxon craig wasson,chuck russell
Instructions Not Included,Comedy Drama,Loreto Peralta Eugenio Derbez Jessica Lindsey Daniel Raymont Hugo Stiglitz,Eugenio Derbez,7.5,9.59729,"Valentin is Acapulco's resident playboy, until a former fling leaves a baby on his doorstep and him heading with her out of Mexico.",instructions not included,valentin acapulco resident playboy former fling leaf baby doorstep heading mexico,loreto peralta eugenio derbez jessica lindsey daniel raymont hugo stiglitz,eugenio derbez
Paranormal Activity 4,Horror,Katie Featherston Kathryn Newton Matt Shively Aiden Lovekamp Brady Allen,Henry Joost Ariel Schulman,5.2,20.326337,"It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.",paranormal activity 4,five year since disappearance katie hunter suburban family witness strange event neighborhood woman mysterious child move,katie featherston kathryn newton matt shively aiden lovekamp brady allen,henry joost ariel schulman
The Robe,Drama,Richard Burton Jean Simmons Victor Mature Jay Robinson Richard Boone,Henry Koster,6.4,4.028875,"Marcellus is a tribune in the time of Christ. He is in charge of the group that is assigned to crucify Jesus. Drunk, he wins Jesus' homespun robe after the crucifixion. He is tormented by nightmares and delusions after the event. Hoping to find a way to live with what he has done, and still not believing in Jesus, he returns to Palestine to try and learn what he can of the man he killed.",the robe,marcellus tribune time christ charge group assigned crucify jesus drunk win jesus homespun robe crucifixion tormented nightmare delusion event hoping find way live done still believing jesus return palestine try learn man killed,richard burton jean simmons victor mature jay robinson richard boone,henry koster
The Return of the Pink Panther,Comedy,Peter Sellers Christopher Plummer Herbert Lom Catherine Schell Peter Arne,Blake Edwards,6.7,6.470766,The famous Pink Panther jewel has once again been stolen and Inspector Clouseau is called in to catch the thief. The Inspector is convinced that 'The Phantom' has returned and utilises all of his resources ï¿½ï¿½ï¿½ himself and his Asian manservant ï¿½ï¿½ï¿½ to reveal the identity of 'T,the return of the pink panther,famous pink panther jewel stolen inspector clouseau called catch thief inspector convinced phantom returned utilises resource asian manservant reveal identity,peter sellers christopher plummer herbert lom catherine schell peter arne,blake edwards
Freddy's Dead: The Final Nightmare,Horror Thriller Comedy,Robert Englund Lisa Zane Shon Greenblatt Lezlie Deane Ricky Dean Logan,Rachel Talalay,5.1,16.856231,"Just when you thought it was safe to sleep, Freddy Krueger returns in this sixth installment of the Nightmare on Elm Street films, as psychologist Maggie Burroughs, tormented by recurring nightmares, meets a patient with the same horrific dreams. Their quest for answers leads to a certain house on Elm Street -- where the nightmares become reality.",freddy s dead  the final nightmare,thought safe sleep freddy krueger return sixth installment nightmare elm street film psychologist maggie burroughs tormented recurring nightmare meet patient horrific dream quest answer lead certain house elm street nightmare become reality,robert englund lisa zane shon greenblatt lezlie deane ricky dean logan,rachel talalay
Monster,Crime Drama,Charlize Theron Christina Ricci Bruce Dern Lee Tergesen Annie Corley,Patty Jenkins,7.0,19.683187,Aileen Wuornos is an emotionally scarred highway hooker who shoots a sadistic trick who rapes her and ultimately becomes America's first female serial killer.,monster,aileen wuornos emotionally scarred highway hooker shoot sadistic trick rape ultimately becomes america first female serial killer,charlize theron christina ricci bruce dern lee tergesen annie corley,patty jenkins
"20,000 Leagues Under the Sea",Adventure Drama Science Fiction,Kirk Douglas James Mason Paul Lukas Peter Lorre Robert J. Wilke,Richard Fleischer,6.8,9.358197,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",20 000 leagues under the sea,ship sent investigate wave mysterious sinking encounter advanced submarine nautilus commanded captain nemo,kirk douglas james mason paul lukas peter lorre robert j  wilke,richard fleischer
Paranormal Activity: The Marked Ones,Horror Thriller,Andrew Jacobs Richard Cabral Carlos Pratts Eddie J. Fernandez Jorge Diaz,Christopher B. Landon,5.2,19.984477,"Seventeen-year-old Jesse has been hearing terrifying sounds coming from his neighborï¿½ï¿½ï¿½s apartment, but when he turns on his camera and sets out to uncover their source, he encounters an ancient evil that wonï¿½ï¿½ï¿½t rest until itï¿½ï¿½ï¿½s clai",paranormal activity  the marked ones,seventeen year old jesse hearing terrifying sound coming neighbor apartment turn camera set uncover source encounter ancient evil rest clai,andrew jacobs richard cabral carlos pratts eddie j  fernandez jorge diaz,christopher b  landon
The Elephant Man,Drama History,Anthony Hopkins John Hurt Anne Bancroft John Gielgud Wendy Hiller,David Lynch,7.9,30.271066,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous faï¿½ï¿½ade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century Lon",the elephant man,victorian surgeon rescue heavily disfigured man mistreated owner side show freak behind monstrous fa ade revealed person great intelligence sensitivity based true story joseph merrick called john merrick film severely deformed man 19th century lon,anthony hopkins john hurt anne bancroft john gielgud wendy hiller,david lynch
Dallas Buyers Club,Drama History,Matthew McConaughey Jennifer Garner Jared Leto Denis O'Hare Steve Zahn,Jean-Marc Vallée,7.9,59.454473,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",dallas buyers club,loosely based true life tale ron woodroof drug taking woman loving homophobic man 1986 diagnosed hiv aid given thirty day live,matthew mcconaughey jennifer garner jared leto denis o hare steve zahn,jean marc vall e
The Lazarus Effect,Thriller Horror,Olivia Wilde Mark Duplass Donald Glover Evan Peters Sarah Bolger,David Gelb,5.1,20.304235,"Medical researcher Frank, his fiancee Zoe and their team have achieved the impossible: they have found a way to revive the dead. After a successful, but unsanctioned, experiment on a lifeless animal, they are ready to make their work public. However, when their dean learns what they've done, he shuts them down. Zoe is killed during an attempt to recreate the experiment, leading Frank to test the process on her. Zoe is revived -- but something evil is within her.",the lazarus effect,medical researcher frank fiancee zoe team achieved impossible found way revive dead successful unsanctioned experiment lifeless animal ready make work public however dean learns done shuts zoe killed attempt recreate experiment leading frank test process zoe revived something evil within,olivia wilde mark duplass donald glover evan peters sarah bolger,david gelb
